operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
select,without_index_nonclustered,50,6,,,200,200,4.064500,3.336000,5.500000,0.796122,0.020322500,,,200,200,,
select,btree_index_nonclustered,100,6,,,200,200,6.095000,4.921000,8.372000,1.297540,0.030475000,,,200,200,,
select,without_index_nonclustered,100,6,,,200,200,9.497500,6.372000,12.786000,2.593303,0.047487500,,,200,200,,
select,btree_index_nonclustered,250,6,,,200,200,12.482667,10.047000,16.629000,2.472513,0.062413333,,,200,200,,
select,without_index_nonclustered,250,6,,,200,200,7.830667,5.389000,8.927000,1.271714,0.039153333,,,200,200,,
select,btree_index_nonclustered,500,6,,,200,200,6.292000,4.750000,8.059000,1.291693,0.031460000,,,200,200,,
select,without_index_nonclustered,500,6,,,200,200,9.234667,7.598000,12.358000,1.957754,0.046173333,,,200,200,,
select,btree_index_nonclustered,1000,6,,,200,200,7.268500,5.728000,9.305000,1.635075,0.036342500,,,200,200,,
select,without_index_nonclustered,1000,6,,,200,200,12.557833,10.702000,16.196000,2.128912,0.062789167,,,200,200,,
select,btree_index_nonclustered,2500,6,,,200,200,6.526500,4.962000,9.976000,1.869497,0.032632500,,,200,200,,
select,without_index_nonclustered,2500,6,,,200,200,28.109333,23.046000,33.332000,3.933049,0.140546667,,,200,200,,
select,btree_index_nonclustered,5000,6,,,200,200,12.545667,6.693000,24.396000,7.854684,0.062728333,,,200,200,,
select,without_index_nonclustered,5000,6,,,200,200,62.207667,44.771000,90.635000,18.567001,0.311038333,,,200,200,,
select,btree_index_nonclustered,10000,6,,,200,200,5.289667,4.344000,6.288000,0.752455,0.026448333,,,200,200,,
select,without_index_nonclustered,10000,6,,,200,200,95.860167,84.894000,110.318000,9.368851,0.479300833,,,200,200,,
select,btree_index_nonclustered,25000,6,,,200,200,8.516667,4.493000,16.998000,4.354947,0.042583333,,,200,200,,
select,without_index_nonclustered,25000,6,,,200,200,235.285667,209.047000,255.206000,18.093561,1.176428333,,,200,200,,
select,btree_index_nonclustered,50000,6,,,200,200,8.162833,6.413000,9.150000,1.090172,0.040814167,,,200,200,,
select,without_index_nonclustered,50000,6,,,200,200,451.214833,434.066000,479.679000,17.338928,2.256074167,,,200,200,,
select,btree_index_nonclustered,100000,6,,,200,200,19.124667,9.674000,44.301000,13.597061,0.095623333,,,200,200,,
select,without_index_nonclustered,100000,6,,,200,200,1018.194667,914.555000,1133.776000,89.435386,5.090973333,,,200,200,,
select,btree_index_nonclustered,250000,6,,,200,200,15.325167,12.396000,17.774000,2.239959,0.076625833,,,200,200,,
select,without_index_nonclustered,250000,6,,,200,200,2665.438333,2460.163000,3005.649000,190.919733,13.327191667,,,200,200,,
select,btree_index_nonclustered,500000,6,,,200,200,21.406000,18.953000,24.127000,1.712530,0.107030000,,,200,200,,
select,without_index_nonclustered,500000,6,,,200,200,3595.736167,3446.887000,3711.733000,120.921597,17.978680833,,,200,200,,
update,expression_index,10,5,10,10,,,0.359000,0.114000,1.226000,0.485993,0.035900000,10,10,,,10,10
update,function_index,10,5,10,10,,,0.391800,0.123000,1.349000,0.536195,0.039180000,10,10,,,10,10
update,no_extra_index,10,5,10,10,,,0.464200,0.097000,1.911000,0.808800,0.046420000,10,10,,,10,10
update,simple_btree,10,5,10,10,,,0.669000,0.187000,2.069000,0.803040,0.066900000,10,10,,,10,10
update,unique_btree,10,5,10,10,,,0.330200,0.115000,1.128000,0.446258,0.033020000,10,10,,,10,10
update,expression_index,25,5,25,25,,,0.590400,0.242000,1.335000,0.445472,0.023616000,25,25,,,25,25
update,function_index,25,5,25,25,,,0.847400,0.259000,2.197000,0.779581,0.033896000,25,25,,,25,25
update,no_extra_index,25,5,25,25,,,0.644600,0.234000,1.641000,0.596844,0.025784000,25,25,,,25,25
update,simple_btree,25,5,25,25,,,0.791600,0.242000,2.068000,0.731844,0.031664000,25,25,,,25,25
update,unique_btree,25,5,25,25,,,0.892600,0.423000,1.944000,0.629699,0.035704000,25,25,,,25,25
