operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
update,function_index,1000,5,1000,1000,,,12.409200,9.961000,18.961000,3.767507,0.012409200,1000,1000,,,1000,1000
update,no_extra_index,1000,5,1000,1000,,,10.713800,8.973000,16.462000,3.236586,0.010713800,1000,1000,,,1000,1000
update,simple_btree,1000,5,1000,1000,,,11.293800,8.505000,16.754000,3.188112,0.011293800,1000,1000,,,1000,1000
update,unique_btree,1000,5,1000,1000,,,11.055000,8.449000,16.629000,3.209886,0.011055000,1000,1000,,,1000,1000
update,expression_index,10000,5,1000,1000,,,12.588400,9.334000,18.311000,3.682585,0.012588400,1000,1000,,,1000,1000
update,function_index,10000,5,1000,1000,,,12.722600,10.905000,15.525000,1.702395,0.012722600,1000,1000,,,1000,1000
update,no_extra_index,10000,5,1000,1000,,,10.227600,8.334000,16.301000,3.433191,0.010227600,1000,1000,,,1000,1000
update,simple_btree,10000,5,1000,1000,,,10.901600,8.959000,14.347000,2.123030,0.010901600,1000,1000,,,1000,1000
update,unique_btree,10000,5,1000,1000,,,12.632000,10.598000,17.099000,2.712038,0.012632000,1000,1000,,,1000,1000
update,expression_index,100000,5,1000,1000,,,15.263600,10.853000,19.923000,4.221942,0.015263600,1000,1000,,,1000,1000
update,function_index,100000,5,1000,1000,,,12.309600,10.590000,15.680000,2.175501,0.012309600,1000,1000,,,1000,1000
update,no_extra_index,100000,5,1000,1000,,,9.886800,9.332000,11.762000,1.050685,0.009886800,1000,1000,,,1000,1000
update,simple_btree,100000,5,1000,1000,,,13.760200,10.524000,21.108000,4.477213,0.013760200,1000,1000,,,1000,1000
update,unique_btree,100000,5,1000,1000,,,10.568200,9.751000,12.600000,1.154032,0.010568200,1000,1000,,,1000,1000
update,expression_index,1000000,5,1000,1000,,,15.750600,12.527000,23.944000,4.924466,0.015750600,1000,1000,,,1000,1000
update,function_index,1000000,5,1000,1000,,,20.651400,13.469000,26.096000,4.687163,0.020651400,1000,1000,,,1000,1000
update,no_extra_index,1000000,5,1000,1000,,,12.970400,11.158000,15.545000,1.957475,0.012970400,1000,1000,,,1000,1000
update,simple_btree,1000000,5,1000,1000,,,29.802000,22.603000,41.713000,7.355287,0.029802000,1000,1000,,,1000,1000
update,unique_btree,1000000,5,1000,1000,,,13.364600,11.274000,19.347000,3.390457,0.013364600,1000,1000,,,1000,1000
update,expression_index,25000000,5,1000,1000,,,86.181000,73.920000,110.128000,15.624569,0.086181000,1000,1000,,,1000,1000
update,function_index,25000000,5,1000,1000,,,64.486000,51.849000,77.802000,12.077611,0.064486000,1000,1000,,,1000,1000
update,no_extra_index,25000000,5,1000,1000,,,56.786800,22.770000,119.514000,45.072710,0.056786800,1000,1000,,,1000,1000
update,simple_btree,25000000,5,1000,1000,,,36.367600,25.780000,44.987000,7.610705,0.036367600,1000,1000,,,1000,1000
update,unique_btree,25000000,5,1000,1000,,,89.945400,25.954000,228.659000,86.093448,0.089945400,1000,1000,,,1000,1000
update,expression_index,50000000,5,1000,1000,,,130.535000,49.924000,205.122000,57.166662,0.130535000,1000,1000,,,1000,1000
update,function_index,50000000,5,1000,1000,,,123.171400,39.428000,216.509000,74.606316,0.123171400,1000,1000,,,1000,1000
update,no_extra_index,50000000,5,1000,1000,,,51.821200,45.746000,60.700000,5.646021,0.051821200,1000,1000,,,1000,1000
update,simple_btree,50000000,5,1000,1000,,,52.536400,38.148000,66.461000,10.060114,0.052536400,1000,1000,,,1000,1000
update,unique_btree,50000000,5,1000,1000,,,101.790400,25.019000,227.412000,84.570965,0.101790400,1000,1000,,,1000,1000
