index_type,trigger_mode,rows_base,run_no,chunk_count,chunk_size,affected_rows,trigger_rows,total_elapsed_ms,avg_elapsed_ms_per_row,measured_at
unique_btree,without_trigger,25,2,100,10,1000,0,27.926000,0.02792600000000000000,2026-05-14 04:54:39.111583
unique_btree,without_trigger,25,3,100,10,1000,0,33.528000,0.03352800000000000000,2026-05-14 04:54:39.145833
unique_btree,without_trigger,25,4,100,10,1000,0,53.881000,0.05388100000000000000,2026-05-14 04:54:39.2004
unique_btree,without_trigger,25,5,100,10,1000,0,51.089000,0.05108900000000000000,2026-05-14 04:54:39.252157
unique_btree,with_trigger,25,1,100,10,1000,1000,25.037000,0.02503700000000000000,2026-05-14 04:54:39.294264
unique_btree,with_trigger,25,2,100,10,1000,1000,33.558000,0.03355800000000000000,2026-05-14 04:54:39.328515
unique_btree,with_trigger,25,3,100,10,1000,1000,45.773000,0.04577300000000000000,2026-05-14 04:54:39.374891
unique_btree,with_trigger,25,4,100,10,1000,1000,45.964000,0.04596400000000000000,2026-05-14 04:54:39.421483
unique_btree,with_trigger,25,5,100,10,1000,1000,54.402000,0.05440200000000000000,2026-05-14 04:54:39.476754
expression_index,without_trigger,50,1,100,10,1000,0,18.550000,0.01855000000000000000,2026-05-14 04:54:41.886408
expression_index,without_trigger,50,2,100,10,1000,0,28.941000,0.02894100000000000000,2026-05-14 04:54:41.916116
expression_index,without_trigger,50,3,100,10,1000,0,36.957000,0.03695700000000000000,2026-05-14 04:54:41.95369
expression_index,without_trigger,50,4,100,10,1000,0,44.744000,0.04474400000000000000,2026-05-14 04:54:41.99933
expression_index,without_trigger,50,5,100,10,1000,0,103.959000,0.10395900000000000000,2026-05-14 04:54:42.104081
expression_index,with_trigger,50,1,100,10,1000,1000,30.683000,0.03068300000000000000,2026-05-14 04:54:42.164499
expression_index,with_trigger,50,2,100,10,1000,1000,41.324000,0.04132400000000000000,2026-05-14 04:54:42.206721
expression_index,with_trigger,50,3,100,10,1000,1000,49.764000,0.04976400000000000000,2026-05-14 04:54:42.257407
expression_index,with_trigger,50,4,100,10,1000,1000,56.036000,0.05603600000000000000,2026-05-14 04:54:42.314416
expression_index,with_trigger,50,5,100,10,1000,1000,70.419000,0.07041900000000000000,2026-05-14 04:54:42.385591
function_index,without_trigger,50,1,100,10,1000,0,17.569000,0.01756900000000000000,2026-05-14 04:54:42.423833
function_index,without_trigger,50,2,100,10,1000,0,117.517000,0.11751700000000000000,2026-05-14 04:54:42.542074
function_index,without_trigger,50,3,100,10,1000,0,29.511000,0.02951100000000000000,2026-05-14 04:54:42.572524
function_index,without_trigger,50,4,100,10,1000,0,31.126000,0.03112600000000000000,2026-05-14 04:54:42.604706
function_index,without_trigger,50,5,100,10,1000,0,34.070000,0.03407000000000000000,2026-05-14 04:54:42.639463
function_index,with_trigger,50,1,100,10,1000,1000,22.327000,0.02232700000000000000,2026-05-14 04:54:42.679491
function_index,with_trigger,50,2,100,10,1000,1000,27.910000,0.02791000000000000000,2026-05-14 04:54:42.708139
function_index,with_trigger,50,3,100,10,1000,1000,40.675000,0.04067500000000000000,2026-05-14 04:54:42.749494
function_index,with_trigger,50,4,100,10,1000,1000,59.785000,0.05978500000000000000,2026-05-14 04:54:42.810204
function_index,with_trigger,50,5,100,10,1000,1000,55.885000,0.05588500000000000000,2026-05-14 04:54:42.867279
no_extra_index,without_trigger,50,1,100,10,1000,0,10.853000,0.01085300000000000000,2026-05-14 04:54:41.029039
no_extra_index,without_trigger,50,2,100,10,1000,0,16.397000,0.01639700000000000000,2026-05-14 04:54:41.046026
no_extra_index,without_trigger,50,3,100,10,1000,0,17.676000,0.01767600000000000000,2026-05-14 04:54:41.064416
no_extra_index,without_trigger,50,4,100,10,1000,0,25.162000,0.02516200000000000000,2026-05-14 04:54:41.090245
no_extra_index,without_trigger,50,5,100,10,1000,0,32.036000,0.03203600000000000000,2026-05-14 04:54:41.122923
no_lookup_index,without_trigger,50,1,100,10,1000,0,9.263000,0.00926300000000000000,2026-05-14 04:54:40.910848
no_lookup_index,without_trigger,50,2,100,10,1000,0,14.378000,0.01437800000000000000,2026-05-14 04:54:40.9262
no_lookup_index,without_trigger,50,3,100,10,1000,0,17.829000,0.01782900000000000000,2026-05-14 04:54:40.944878
no_lookup_index,without_trigger,50,4,100,10,1000,0,23.333000,0.02333300000000000000,2026-05-14 04:54:40.968879
no_lookup_index,without_trigger,50,5,100,10,1000,0,29.920000,0.02992000000000000000,2026-05-14 04:54:40.999558
simple_btree,without_trigger,50,1,100,10,1000,0,19.971000,0.01997100000000000000,2026-05-14 04:54:41.167905
simple_btree,without_trigger,50,2,100,10,1000,0,26.633000,0.02663300000000000000,2026-05-14 04:54:41.196061
simple_btree,without_trigger,50,3,100,10,1000,0,30.744000,0.03074400000000000000,2026-05-14 04:54:41.227453
simple_btree,without_trigger,50,4,100,10,1000,0,26.025000,0.02602500000000000000,2026-05-14 04:54:41.254095
simple_btree,without_trigger,50,5,100,10,1000,0,35.867000,0.03586700000000000000,2026-05-14 04:54:41.290554
simple_btree,with_trigger,50,1,100,10,1000,1000,20.144000,0.02014400000000000000,2026-05-14 04:54:41.329
simple_btree,with_trigger,50,2,100,10,1000,1000,24.531000,0.02453100000000000000,2026-05-14 04:54:41.354501
simple_btree,with_trigger,50,3,100,10,1000,1000,32.349000,0.03234900000000000000,2026-05-14 04:54:41.38746
simple_btree,with_trigger,50,4,100,10,1000,1000,33.679000,0.03367900000000000000,2026-05-14 04:54:41.421901
simple_btree,with_trigger,50,5,100,10,1000,1000,38.477000,0.03847700000000000000,2026-05-14 04:54:41.460999
unique_btree,without_trigger,50,1,100,10,1000,0,12.131000,0.01213100000000000000,2026-05-14 04:54:41.490214
