operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,teacher_model_name,teacher_formula,teacher_r2,teacher_rmse,teacher_mape_percent,teacher_aicc,statistical_model_name,statistical_formula,statistical_r2,statistical_rmse,statistical_mape_percent,statistical_aicc,models_match,expected_priority
size_select,btree_index_nonclustered,total_bytes,50,13,linear,y = 4.393272e+04 + 9.070951e+07·(N/1e6),0.9999995032735203,8991.53050022652,9.657114941646148,241.90499730064778,linear,y = 4.393272e+04 + 9.070951e+07·(N/1e6),0.9999995032735203,8991.53050022652,9.657114941646148,241.90499730064778,YES,linear > logarithmic > constant > exponential
size_select,without_index_nonclustered,total_bytes,50,13,linear,y = 2.658245e+04 + 6.822170e+07·(N/1e6),0.999999452550852,7099.317347110495,16.205680253622432,235.76160166292672,linear,y = 2.658245e+04 + 6.822170e+07·(N/1e6),0.999999452550852,7099.317347110495,16.205680253622432,235.76160166292672,YES,linear > logarithmic > constant > exponential
size_update,expression_index,indexes_bytes,50,13,linear,y = 9.307695e+04 + 2.933033e+07·(N/1e6),0.9998178842142404,55673.9978642541,57.9652195361414,289.30898079770947,linear,y = 9.307695e+04 + 2.933033e+07·(N/1e6),0.9998178842142404,55673.9978642541,57.9652195361414,289.30898079770947,YES,linear > logarithmic > constant > exponential
size_update,function_index,indexes_bytes,50,13,linear,y = 1.245044e+05 + 2.960034e+07·(N/1e6),0.9994556080614331,97161.1992174206,89.24149748627416,303.7872948694226,linear,y = 1.245044e+05 + 2.960034e+07·(N/1e6),0.9994556080614331,97161.1992174206,89.24149748627416,303.7872948694226,YES,linear > logarithmic > constant > exponential
size_update,no_extra_index,indexes_bytes,50,13,constant,y = 1.650373e+06,-2.220446049250313e-16,3161988.9304928235,3312.7633996966993,391.49814305840187,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),0.9999986753911528,3639.1853114976802,6.883762301553503,218.38739312150122,NO,constant > linear > logarithmic > exponential
size_update,simple_btree,indexes_bytes,50,13,linear,y = 1.245044e+05 + 2.960034e+07·(N/1e6),0.9994556080614331,97161.1992174206,89.24149748627416,303.7872948694226,linear,y = 1.245044e+05 + 2.960034e+07·(N/1e6),0.9994556080614331,97161.1992174206,89.24149748627416,303.7872948694226,YES,linear > logarithmic > constant > exponential
size_update,unique_btree,indexes_bytes,50,13,linear,y = 3.426114e+04 + 4.496432e+07·(N/1e6),0.9999986753911528,7278.3706229953605,6.883762301553503,236.4092198160598,linear,y = 3.426114e+04 + 4.496432e+07·(N/1e6),0.9999986753911528,7278.3706229953605,6.883762301553503,236.4092198160598,YES,linear > logarithmic > constant > exponential
size_update,expression_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,YES,linear > logarithmic > constant > exponential
size_update,function_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,YES,linear > logarithmic > constant > exponential
size_update,no_extra_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,YES,linear > logarithmic > constant > exponential
size_update,simple_btree,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,YES,linear > logarithmic > constant > exponential
size_update,unique_btree,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,linear,y = 4586.01 + 8.445048e+07·(N/1e6),0.99999996839231,2111.643416654705,3.114804876181656,204.23576663777024,YES,linear > logarithmic > constant > exponential
size_update,expression_index,total_bytes,50,13,linear,y = 1.276776e+05 + 1.138014e+08·(N/1e6),0.9999871508191555,57373.32985857867,28.882739580494643,290.0907057807328,linear,y = 1.276776e+05 + 1.138014e+08·(N/1e6),0.9999871508191555,57373.32985857867,28.882739580494643,290.0907057807328,YES,linear > logarithmic > constant > exponential
size_update,function_index,total_bytes,50,13,linear,y = 1.591051e+05 + 1.140714e+08·(N/1e6),0.9999626551011855,98044.33263472951,43.13498314274028,304.0225507588435,linear,y = 1.591051e+05 + 1.140714e+08·(N/1e6),0.9999626551011855,98044.33263472951,43.13498314274028,304.0225507588435,YES,linear > logarithmic > constant > exponential
size_update,no_extra_index,total_bytes,50,13,linear,y = 5.173124e+04 + 1.069532e+08·(N/1e6),0.9999996819407809,8483.398705166155,7.574949788122715,240.39252741905347,linear,y = 5.173124e+04 + 1.069532e+08·(N/1e6),0.9999996819407809,8483.398705166155,7.574949788122715,240.39252741905347,YES,linear > logarithmic > constant > exponential
size_update,simple_btree,total_bytes,50,13,linear,y = 1.591051e+05 + 1.140714e+08·(N/1e6),0.9999626551011855,98044.33263472951,43.13498314274028,304.0225507588435,linear,y = 1.591051e+05 + 1.140714e+08·(N/1e6),0.9999626551011855,98044.33263472951,43.13498314274028,304.0225507588435,YES,linear > logarithmic > constant > exponential
size_update,unique_btree,total_bytes,50,13,linear,y = 6.886181e+04 + 1.294354e+08·(N/1e6),0.9999996317391431,11047.215511253637,6.189946344316293,247.2582758167419,linear,y = 6.886181e+04 + 1.294354e+08·(N/1e6),0.9999996317391431,11047.215511253637,6.189946344316293,247.2582758167419,YES,linear > logarithmic > constant > exponential
