index_type,mode,rows_base,runs,affected_rows_min,affected_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
function_index,lookup_and_update,500000,5,1000,1000,2.387000,1.750000,2.851000,0.441401,0.002387000
function_index,lookup_and_update,1000000,5,1000,1000,2.092200,1.920000,2.250000,0.118700,0.002092200
function_index,lookup_and_update,2000000,5,1000,1000,2.062000,1.717000,2.391000,0.242542,0.002062000
function_index,lookup_only,5000,5,1000,1000,2.071400,1.923000,2.198000,0.134314,0.002071400
function_index,lookup_only,10000,5,1000,1000,2.086800,1.967000,2.247000,0.108771,0.002086800
function_index,lookup_only,25000,5,1000,1000,2.081000,1.881000,2.238000,0.157129,0.002081000
function_index,lookup_only,50000,5,1000,1000,4.005600,2.215000,8.929000,2.772253,0.004005600
function_index,lookup_only,100000,5,1000,1000,2.785000,2.451000,3.188000,0.341277,0.002785000
function_index,lookup_only,250000,5,1000,1000,2.313600,2.153000,2.538000,0.178161,0.002313600
function_index,lookup_only,500000,5,1000,1000,2.184800,2.117000,2.232000,0.048700,0.002184800
function_index,lookup_only,1000000,5,1000,1000,2.172600,2.066000,2.414000,0.151950,0.002172600
function_index,lookup_only,2000000,5,1000,1000,2.262200,1.984000,2.919000,0.373818,0.002262200
no_index,no_index,5000,5,1000,1000,1.544200,1.210000,2.381000,0.488574,0.001544200
no_index,no_index,10000,5,1000,1000,1.576800,1.424000,1.836000,0.164127,0.001576800
no_index,no_index,25000,5,1000,1000,2.157800,1.966000,2.452000,0.196607,0.002157800
no_index,no_index,50000,5,1000,1000,4.749400,3.785000,6.328000,0.989404,0.004749400
no_index,no_index,100000,5,1000,1000,6.073600,5.757000,6.657000,0.387657,0.006073600
no_index,no_index,250000,5,1000,1000,28.595000,16.488000,39.495000,10.488838,0.028595000
no_index,no_index,500000,5,1000,1000,31.668600,30.518000,34.282000,1.495374,0.031668600
no_index,no_index,1000000,5,1000,1000,67.417600,61.081000,74.439000,6.318446,0.067417600
no_index,no_index,2000000,5,1000,1000,135.394800,125.351000,145.718000,8.634965,0.135394800
simple_btree,lookup_and_update,5000,5,1000,1000,2.089800,1.856000,2.300000,0.186355,0.002089800
simple_btree,lookup_and_update,10000,5,1000,1000,2.012800,1.868000,2.358000,0.198441,0.002012800
simple_btree,lookup_and_update,25000,5,1000,1000,1.996400,1.832000,2.135000,0.121071,0.001996400
simple_btree,lookup_and_update,50000,5,1000,1000,1.974200,1.885000,2.031000,0.060479,0.001974200
simple_btree,lookup_and_update,100000,5,1000,1000,1.943000,1.860000,2.088000,0.087974,0.001943000
simple_btree,lookup_and_update,250000,5,1000,1000,2.084600,1.769000,2.411000,0.232676,0.002084600
simple_btree,lookup_and_update,500000,5,1000,1000,2.102800,1.683000,2.727000,0.381686,0.002102800
simple_btree,lookup_and_update,1000000,5,1000,1000,2.959600,2.691000,3.178000,0.197277,0.002959600
simple_btree,lookup_and_update,2000000,5,1000,1000,2.074400,1.890000,2.192000,0.113275,0.002074400
simple_btree,lookup_only,5000,5,1000,1000,3.686600,1.828000,8.232000,2.618649,0.003686600
simple_btree,lookup_only,10000,5,1000,1000,1.868600,1.780000,1.925000,0.055761,0.001868600
simple_btree,lookup_only,25000,5,1000,1000,1.963400,1.742000,2.231000,0.175102,0.001963400
simple_btree,lookup_only,50000,5,1000,1000,1.961000,1.771000,2.360000,0.231388,0.001961000
simple_btree,lookup_only,100000,5,1000,1000,2.031400,1.906000,2.132000,0.111271,0.002031400
simple_btree,lookup_only,250000,5,1000,1000,2.104800,2.022000,2.170000,0.062460,0.002104800
simple_btree,lookup_only,500000,5,1000,1000,2.046000,1.888000,2.217000,0.137264,0.002046000
simple_btree,lookup_only,1000000,5,1000,1000,3.064400,2.809000,3.644000,0.338708,0.003064400
simple_btree,lookup_only,2000000,5,1000,1000,2.221600,2.030000,2.428000,0.164296,0.002221600
unique_btree,lookup_and_update,5000,5,1000,1000,2.185400,1.770000,3.043000,0.499690,0.002185400
unique_btree,lookup_and_update,10000,5,1000,1000,1.930000,1.846000,2.068000,0.086776,0.001930000
unique_btree,lookup_and_update,25000,5,1000,1000,1.886600,1.764000,1.953000,0.077407,0.001886600
unique_btree,lookup_and_update,50000,5,1000,1000,2.571600,2.001000,3.933000,0.798102,0.002571600
unique_btree,lookup_and_update,100000,5,1000,1000,1.914600,1.811000,1.953000,0.059324,0.001914600
unique_btree,lookup_and_update,250000,5,1000,1000,2.080800,1.632000,2.258000,0.259899,0.002080800
unique_btree,lookup_and_update,500000,5,1000,1000,2.120400,1.808000,2.378000,0.217823,0.002120400
unique_btree,lookup_and_update,1000000,5,1000,1000,1.998200,1.712000,2.163000,0.182087,0.001998200
unique_btree,lookup_and_update,2000000,5,1000,1000,1.937400,1.662000,2.050000,0.156168,0.001937400
unique_btree,lookup_only,5000,5,1000,1000,2.467400,2.021000,3.435000,0.555976,0.002467400
unique_btree,lookup_only,10000,5,1000,1000,2.165800,2.004000,2.359000,0.128700,0.002165800
unique_btree,lookup_only,25000,5,1000,1000,2.312400,2.145000,2.695000,0.221918,0.002312400
unique_btree,lookup_only,50000,5,1000,1000,3.837400,3.286000,4.154000,0.411137,0.003837400
unique_btree,lookup_only,100000,5,1000,1000,2.274200,2.169000,2.336000,0.078496,0.002274200
unique_btree,lookup_only,250000,5,1000,1000,2.344400,2.206000,2.767000,0.240573,0.002344400
unique_btree,lookup_only,500000,5,1000,1000,2.567000,2.385000,2.921000,0.228027,0.002567000
unique_btree,lookup_only,1000000,5,1000,1000,2.398200,2.260000,2.617000,0.158539,0.002398200
unique_btree,lookup_only,2000000,5,1000,1000,2.345800,2.196000,2.640000,0.185737,0.002345800
