operation_name,index_type,rows_base,table_name,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
update,function_index,50,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,no_extra_index,50,lab4.ext_update_work,8192,16384,32768,8192 bytes,16 kB,32 kB
update,simple_btree,50,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,unique_btree,50,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,expression_index,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,function_index,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,no_extra_index,100,lab4.ext_update_work,16384,16384,65536,16 kB,16 kB,64 kB
update,simple_btree,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,unique_btree,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,expression_index,250,lab4.ext_update_work,24576,32768,90112,24 kB,32 kB,88 kB
update,function_index,250,lab4.ext_update_work,24576,32768,90112,24 kB,32 kB,88 kB
update,no_extra_index,250,lab4.ext_update_work,24576,16384,73728,24 kB,16 kB,72 kB
update,simple_btree,250,lab4.ext_update_work,24576,32768,90112,24 kB,32 kB,88 kB
update,unique_btree,250,lab4.ext_update_work,24576,32768,90112,24 kB,32 kB,88 kB
update,expression_index,500,lab4.ext_update_work,49152,65536,147456,48 kB,64 kB,144 kB
update,function_index,500,lab4.ext_update_work,49152,65536,147456,48 kB,64 kB,144 kB
update,no_extra_index,500,lab4.ext_update_work,49152,32768,114688,48 kB,32 kB,112 kB
update,simple_btree,500,lab4.ext_update_work,49152,65536,147456,48 kB,64 kB,144 kB
update,unique_btree,500,lab4.ext_update_work,49152,65536,147456,48 kB,64 kB,144 kB
update,expression_index,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,function_index,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,no_extra_index,1000,lab4.ext_update_work,90112,40960,163840,88 kB,40 kB,160 kB
update,simple_btree,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,unique_btree,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,expression_index,2500,lab4.ext_update_work,212992,147456,393216,208 kB,144 kB,384 kB
update,function_index,2500,lab4.ext_update_work,212992,147456,393216,208 kB,144 kB,384 kB
update,no_extra_index,2500,lab4.ext_update_work,212992,73728,319488,208 kB,72 kB,312 kB
update,simple_btree,2500,lab4.ext_update_work,212992,147456,393216,208 kB,144 kB,384 kB
update,unique_btree,2500,lab4.ext_update_work,212992,147456,393216,208 kB,144 kB,384 kB
update,expression_index,5000,lab4.ext_update_work,425984,253952,712704,416 kB,248 kB,696 kB
update,function_index,5000,lab4.ext_update_work,425984,262144,720896,416 kB,256 kB,704 kB
update,no_extra_index,5000,lab4.ext_update_work,425984,131072,589824,416 kB,128 kB,576 kB
update,simple_btree,5000,lab4.ext_update_work,425984,262144,720896,416 kB,256 kB,704 kB
update,unique_btree,5000,lab4.ext_update_work,425984,262144,720896,416 kB,256 kB,704 kB
