operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,priority_rank,formula,coef_0,coef_1,r2,rmse,mape_percent,aicc
size_insert,simple_btree,relation_bytes,50,13,exponential,4,y = 1.527710e+05·exp(14.3564·(N/1e6)),11.936695517386118,14.356363477757984,-13.429862035719738,44298650.735709526,408.1935132577014,462.96808420507665
size_insert,unique_btree,relation_bytes,50,13,linear,1,y = -1.687866e+04 + 8.291568e+07·(N/1e6),-16878.66256086418,82915678.32834736,0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694
size_insert,unique_btree,relation_bytes,50,13,logarithmic,2,y = -1.846015e+07 + 2.872634e+06·ln(N),-18460151.583206944,2872633.9176389007,0.5027860387128191,8223014.697006777,13168.34099823015,419.1836337326602
size_insert,unique_btree,relation_bytes,50,13,constant,3,y = 6.006626e+06,6006626.461538464,,0.0,11661634.057442896,15238.944133170116,425.43082301523646
size_insert,unique_btree,relation_bytes,50,13,exponential,4,y = 1.527710e+05·exp(14.3564·(N/1e6)),11.936695517386118,14.356363477757984,-13.429862035719738,44298650.735709526,408.1935132577014,462.96808420507665
size_insert,expression_index,total_bytes,50,13,linear,1,y = 3.556768e+05 + 9.779891e+07·(N/1e6),355676.7965103638,97798908.98492725,0.9977498256647611,653210.7351230156,235.31215684234584,353.3310319398119
size_insert,expression_index,total_bytes,50,13,logarithmic,2,y = -2.230062e+07 + 3.494227e+06·ln(N),-22300616.933372684,3494227.223586014,0.5335231714826061,9405031.790720819,4257.366875959384,422.67564042353405
size_insert,expression_index,total_bytes,50,13,constant,3,y = 7.460391e+06,7460391.384615389,,2.220446049250313e-16,13770357.96437898,5459.525064302876,429.7523868881555
size_insert,expression_index,total_bytes,50,13,exponential,4,y = 3.225586e+05·exp(12.8088·(N/1e6)),12.68404018438281,12.808815602099358,-7.924117017052961,41136549.26773864,243.31164623422526,461.042596582922
size_insert,function_index,total_bytes,50,13,linear,1,y = 3.552938e+04 + 9.026135e+07·(N/1e6),35529.3776548272,90261353.33596703,0.9999968380617957,22573.622954596212,10.855133763039085,265.8379718211284
size_insert,function_index,total_bytes,50,13,logarithmic,2,y = -2.005277e+07 + 3.128430e+06·ln(N),-20052769.870735895,3128429.6141187833,0.5032051545906032,8947735.102387128,3919.966382730177,421.3796859230363
size_insert,function_index,total_bytes,50,13,constant,3,y = 6.592670e+06,6592669.538461543,,1.1102230246251565e-16,12694762.42697439,4884.567657736101,427.63783789869404
size_insert,function_index,total_bytes,50,13,exponential,4,y = 2.885895e+05·exp(12.7789·(N/1e6)),12.572760464120067,12.778885254090577,-6.8145555606064185,35487607.363458395,217.54685774166833,457.20204673381767
size_insert,no_index,total_bytes,50,13,linear,1,y = 1.074186e+04 + 8.294316e+07·(N/1e6),10741.855540960998,82943163.78437899,0.9999971868345505,19565.948034277997,10.102659630322112,262.1201957164516
size_insert,no_index,total_bytes,50,13,logarithmic,2,y = -1.845007e+07 + 2.874927e+06·ln(N),-18450068.126571707,2874927.3696829,0.5032556951961418,8221852.979301658,6712.201667640599,419.1799602874276
size_insert,no_index,total_bytes,50,13,constant,3,y = 6.036244e+06,6036243.692307694,,0.0,11665497.321378665,7854.816809188136,425.4394348639561
size_insert,no_index,total_bytes,50,13,exponential,4,y = 2.138933e+05·exp(13.3937·(N/1e6)),12.273232768167873,13.393724906932762,-8.971940881449026,36837750.81753876,287.76998262436746,458.17287658377626
size_insert,simple_btree,total_bytes,50,13,linear,1,y = 3.510168e+04 + 9.024122e+07·(N/1e6),35101.68084807105,90241217.86210832,0.9999965876386588,23445.27038585649,10.768499955998982,266.8230256699776
size_insert,simple_btree,total_bytes,50,13,logarithmic,2,y = -2.004720e+07 + 3.127554e+06·ln(N),-20047202.934264228,3127554.0442165243,0.5031478578515218,8946256.018357696,3918.9010248506584,421.37538769972844
size_insert,simple_btree,total_bytes,50,13,constant,3,y = 6.590779e+06,6590779.07692308,,-2.220446049250313e-16,12691932.072610697,4883.14544739657,427.6320404354786
size_insert,simple_btree,total_bytes,50,13,exponential,4,y = 2.885708e+05·exp(12.7782·(N/1e6)),12.572695910948692,12.778237164208265,-6.810796629088781,35471161.05295119,217.52696279377335,457.18999454941866
size_insert,unique_btree,total_bytes,50,13,linear,1,y = 2.787243e+04 + 1.054253e+08·(N/1e6),27872.426056272572,105425322.38592598,0.999998522383236,18023.876949374226,7.164966799152241,259.9857690311862
size_insert,unique_btree,total_bytes,50,13,logarithmic,2,y = -2.344443e+07 + 3.655083e+06·ln(N),-23444428.130666573,3655082.613063837,0.5035020429922246,10447828.662439398,4553.804827104548,425.40952301344873
size_insert,unique_btree,total_bytes,50,13,constant,3,y = 7.686617e+06,7686616.615384619,,-2.220446049250313e-16,14827478.70384259,5675.941980888415,431.67544621089854
size_insert,unique_btree,total_bytes,50,13,exponential,4,y = 3.061914e+05·exp(13.0536·(N/1e6)),12.631965562931466,13.053649655019377,-7.722882983894639,43792257.345303096,231.9952041769545,462.6691572563375
