index_type,trigger_mode,rows_base,runs,chunk_count_min,chunk_count_max,chunk_size_min,chunk_size_max,affected_min,affected_max,trigger_rows_min,trigger_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
unique_btree,with_trigger,50,5,100,100,10,10,1000,1000,1000,1000,33.7800000000000000,21.453000,44.802000,9.2567658228994861,0.03378000000000000000
expression_index,without_trigger,100,5,100,100,10,10,1000,1000,0,0,26.9398000000000000,19.148000,33.378000,6.0668028812546728,0.02693980000000000000
expression_index,with_trigger,100,5,100,100,10,10,1000,1000,1000,1000,47.7254000000000000,28.675000,68.376000,17.5277493078832001,0.04772540000000000000
function_index,without_trigger,100,5,100,100,10,10,1000,1000,0,0,20.6140000000000000,16.787000,24.578000,3.2406516320024280,0.02061400000000000000
function_index,with_trigger,100,5,100,100,10,10,1000,1000,1000,1000,31.1904000000000000,25.373000,35.257000,4.5050604657429405,0.03119040000000000000
no_extra_index,without_trigger,100,5,100,100,10,10,1000,1000,0,0,20.6020000000000000,15.133000,23.846000,3.8901111166649212,0.02060200000000000000
no_lookup_index,without_trigger,100,5,100,100,10,10,1000,1000,0,0,46.1712000000000000,16.508000,97.737000,33.9773722012165031,0.04617120000000000000
simple_btree,without_trigger,100,5,100,100,10,10,1000,1000,0,0,19.6496000000000000,13.410000,24.177000,4.7450575128232113,0.01964960000000000000
simple_btree,with_trigger,100,5,100,100,10,10,1000,1000,1000,1000,28.1224000000000000,21.193000,32.672000,4.5947395791274178,0.02812240000000000000
unique_btree,without_trigger,100,5,100,100,10,10,1000,1000,0,0,19.3610000000000000,16.376000,23.357000,2.7437943618281600,0.01936100000000000000
unique_btree,with_trigger,100,5,100,100,10,10,1000,1000,1000,1000,27.2732000000000000,22.220000,32.762000,4.0270175937038070,0.02727320000000000000
expression_index,without_trigger,250,5,100,100,10,10,1000,1000,0,0,27.6712000000000000,21.039000,34.740000,5.8159889700720719,0.02767120000000000000
expression_index,with_trigger,250,5,100,100,10,10,1000,1000,1000,1000,32.9946000000000000,30.802000,39.674000,3.7477190129464082,0.03299460000000000000
function_index,without_trigger,250,5,100,100,10,10,1000,1000,0,0,14.8362000000000000,10.967000,20.918000,3.7112237469600240,0.01483620000000000000
function_index,with_trigger,250,5,100,100,10,10,1000,1000,1000,1000,26.2986000000000000,21.907000,35.664000,5.5682204787526149,0.02629860000000000000
no_extra_index,without_trigger,250,5,100,100,10,10,1000,1000,0,0,15.8108000000000000,11.700000,23.422000,4.7734016906185467,0.01581080000000000000
no_lookup_index,without_trigger,250,5,100,100,10,10,1000,1000,0,0,17.7874000000000000,12.163000,26.129000,5.3531032401776075,0.01778740000000000000
simple_btree,without_trigger,250,5,100,100,10,10,1000,1000,0,0,15.7730000000000000,12.734000,21.253000,3.4235873729174782,0.01577300000000000000
simple_btree,with_trigger,250,5,100,100,10,10,1000,1000,1000,1000,25.8022000000000000,21.126000,34.544000,5.2147514034707350,0.02580220000000000000
unique_btree,without_trigger,250,5,100,100,10,10,1000,1000,0,0,24.1348000000000000,14.605000,54.913000,17.2385778618771218,0.02413480000000000000
unique_btree,with_trigger,250,5,100,100,10,10,1000,1000,1000,1000,44.9748000000000000,26.481000,95.141000,28.6277842349001925,0.04497480000000000000
expression_index,without_trigger,500,5,100,100,10,10,1000,1000,0,0,40.7282000000000000,27.435000,57.982000,12.4350583311860665,0.04072820000000000000
expression_index,with_trigger,500,5,100,100,10,10,1000,1000,1000,1000,40.4236000000000000,29.308000,56.990000,11.2588731363311844,0.04042360000000000000
function_index,without_trigger,500,5,100,100,10,10,1000,1000,0,0,24.9318000000000000,18.253000,34.915000,7.7271031570699249,0.02493180000000000000
function_index,with_trigger,500,5,100,100,10,10,1000,1000,1000,1000,34.1278000000000000,27.166000,51.462000,9.8521315054154652,0.03412780000000000000
no_extra_index,without_trigger,500,5,100,100,10,10,1000,1000,0,0,20.1090000000000000,15.152000,24.531000,3.5396619188843445,0.02010900000000000000
no_lookup_index,without_trigger,500,5,100,100,10,10,1000,1000,0,0,19.5442000000000000,10.891000,34.378000,8.7801705393460325,0.01954420000000000000
simple_btree,without_trigger,500,5,100,100,10,10,1000,1000,0,0,22.4692000000000000,16.701000,26.102000,4.1590122264787825,0.02246920000000000000
simple_btree,with_trigger,500,5,100,100,10,10,1000,1000,1000,1000,115.1362000000000000,28.920000,451.177000,187.863106180272,0.11513620000000000000
unique_btree,without_trigger,500,5,100,100,10,10,1000,1000,0,0,19.1204000000000000,11.664000,27.967000,6.4446556773810655,0.01912040000000000000
unique_btree,with_trigger,500,5,100,100,10,10,1000,1000,1000,1000,27.7330000000000000,21.825000,40.258000,7.7332256853139880,0.02773300000000000000
expression_index,without_trigger,1000,5,100,100,10,10,1000,1000,0,0,21.7150000000000000,16.510000,28.642000,4.9298713979169883,0.02171500000000000000
expression_index,with_trigger,1000,5,100,100,10,10,1000,1000,1000,1000,28.5252000000000000,23.668000,35.930000,5.0602507546563342,0.02852520000000000000
function_index,without_trigger,1000,5,100,100,10,10,1000,1000,0,0,28.5680000000000000,15.422000,40.940000,10.8153665911054536,0.02856800000000000000
function_index,with_trigger,1000,5,100,100,10,10,1000,1000,1000,1000,23.5972000000000000,19.640000,27.415000,2.9420471954066271,0.02359720000000000000
no_extra_index,without_trigger,1000,5,100,100,10,10,1000,1000,0,0,17.4902000000000000,12.568000,27.330000,6.2244064134662672,0.01749020000000000000
no_lookup_index,without_trigger,1000,5,100,100,10,10,1000,1000,0,0,37.1748000000000000,17.563000,99.394000,35.1873148975593192,0.03717480000000000000
simple_btree,without_trigger,1000,5,100,100,10,10,1000,1000,0,0,17.5636000000000000,11.629000,22.111000,4.5476936792180715,0.01756360000000000000
simple_btree,with_trigger,1000,5,100,100,10,10,1000,1000,1000,1000,25.2990000000000000,21.514000,30.979000,3.8939850410601220,0.02529900000000000000
unique_btree,without_trigger,1000,5,100,100,10,10,1000,1000,0,0,16.8148000000000000,11.772000,28.657000,6.8378184898401625,0.01681480000000000000
unique_btree,with_trigger,1000,5,100,100,10,10,1000,1000,1000,1000,26.5884000000000000,21.306000,36.660000,5.9359082540079745,0.02658840000000000000
expression_index,without_trigger,2500,5,100,100,10,10,1000,1000,0,0,23.8946000000000000,17.164000,29.137000,4.5085085449625134,0.02389460000000000000
expression_index,with_trigger,2500,5,100,100,10,10,1000,1000,1000,1000,27.8250000000000000,23.465000,34.335000,4.2183078953533015,0.02782500000000000000
function_index,without_trigger,2500,5,100,100,10,10,1000,1000,0,0,14.5678000000000000,13.314000,15.797000,0.88388104403251006704,0.01456780000000000000
function_index,with_trigger,2500,5,100,100,10,10,1000,1000,1000,1000,21.0342000000000000,18.609000,23.147000,1.7300697095782008,0.02103420000000000000
no_extra_index,without_trigger,2500,5,100,100,10,10,1000,1000,0,0,14.1818000000000000,10.623000,15.712000,2.0291891730442482,0.01418180000000000000
