operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,formula,aicc,r2,rmse,mape_percent
size_update,function_index,total_bytes,50,13,log_plus_linear,y = -1.717741e+05 + 4.434433e+04·ln(N) + 1.134270e+08·(N/1e6),283.6145172972249,0.999994048275974,39140.66894724036,15.491376276482132
size_update,no_extra_index,total_bytes,50,13,linear,y = 5.173124e+04 + 1.069532e+08·(N/1e6),240.39252741905347,0.9999996819407809,8483.398705166155,7.574949788122715
size_update,simple_btree,total_bytes,50,13,log_plus_linear,y = -1.717741e+05 + 4.434433e+04·ln(N) + 1.134270e+08·(N/1e6),283.6145172972249,0.999994048275974,39140.66894724036,15.491376276482132
size_update,unique_btree,total_bytes,50,13,linear,y = 6.886181e+04 + 1.294354e+08·(N/1e6),247.2582758167419,0.9999996317391431,11047.215511253637,6.189946344316293
update,expression_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.0169456,-142.30929773426163,0.0,0.0038320950337192346,16.835581870214416
update,function_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.0182804,-141.7636588995941,0.0,0.003913365591566221,17.716070447643638
update,no_extra_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.014864,-150.19385848159905,1.1102230246251565e-16,0.0028296678107250068,14.774754465423282
update,simple_btree,avg_elapsed_ms_per_operation,50,13,constant,y = 0.017115,-141.03739366224062,-2.220446049250313e-16,0.004024219774428257,16.077855087208963
update,unique_btree,avg_elapsed_ms_per_operation,50,13,constant,y = 0.0163687,-149.83320965379417,0.0,0.002869191928629664,15.699856145144617
update,expression_index,avg_total_elapsed_ms,50,13,logarithmic,y = -0.45133 + 1.55808·ln(N),47.89338344271054,0.4298081864111535,5.165765028084575,95.5062027209565
update,function_index,avg_total_elapsed_ms,50,13,log_plus_linear,y = -6.53688 + 2.54455·ln(N) + -22.8503·(N/1e6),43.105428682601826,0.6835917294994734,3.7605595764163158,58.66600756293218
update,no_extra_index,avg_total_elapsed_ms,50,13,log_plus_linear,y = -5.95231 + 2.18179·ln(N) + -21.7822·(N/1e6),42.557909007031064,0.6133511803010425,3.6821960274322354,48.54890905644421
update,simple_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -3.28813 + 1.82282·ln(N),34.41636334606795,0.7441997929016866,3.0762344951790306,47.334093577469446
update,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -0.538934 + 1.51364·ln(N),44.132083077420226,0.48720620999765274,4.469997327139853,92.43345824991552
